DJ|Playlists|X|Y
Mike L.|http://wfmu.org/playlists/HT| -2.247850|  1.895190
Mike Van Laar|http://wfmu.org/playlists/VL|  0.878576| -1.423151
Miniature Minotaurs|http://wfmu.org/playlists/KU|  0.422265| -0.110883
Minor Music|http://wfmu.org/playlists/KD| -0.720152| -0.511739
Mita!|http://wfmu.org/playlists/MI| -2.011310| -1.140836
Monica|http://wfmu.org/playlists/ML| -1.371052|  3.037936
Moonshine Heather|http://wfmu.org/playlists/EN| -1.023362|  1.286008
More Than A Few Exciting Moments|http://wfmu.org/playlists/FX|  0.766930| -0.159118
Mosurock|http://wfmu.org/playlists/OJ| -0.856088|  0.980349
Mudd Up!|http://wfmu.org/playlists/DR| -0.226726| -3.078093
Muriel's Treasure|http://wfmu.org/playlists/MZ|  0.501403|  3.471209
Music from Daddy's Hideaway|http://wfmu.org/playlists/DZ| -1.013951|  0.162692
Nat Roe|http://wfmu.org/playlists/NR| -0.561440| -1.560980
Nazario Scenario|http://wfmu.org/playlists/AN|  0.658552|  0.775820
Ning Nong Radio|http://wfmu.org/playlists/NI| -0.760814| -1.167932
Noise and Syrup|http://wfmu.org/playlists/NS| -1.090880| -1.097124
Old Codger|http://wfmu.org/playlists/OC|  0.347410|  3.285001
Optical Sound|http://wfmu.org/playlists/MV|  1.852000|  0.972595
Paid By The Tear|http://wfmu.org/playlists/PT|  2.194045| -1.822714
Pat Duncan|http://wfmu.org/playlists/PD| -1.408147| -4.147577
Paul Bruno|http://wfmu.org/playlists/PO|  2.241258| -0.241640
Phuj Phactory|http://wfmu.org/playlists/ER| -2.267223|  0.390650
Play Vertigo|http://wfmu.org/playlists/VE| -0.662826| -1.109409
The Pounding System|http://wfmu.org/playlists/PS| -3.738243|  0.358996
Professor Dum Dum's Lab|http://wfmu.org/playlists/DL|  2.036077|  3.482209
Pseu Braun|http://wfmu.org/playlists/SB| -3.521616|  1.365623
Pseu's Thing With A Hook|http://wfmu.org/playlists/HK|  2.670750|  0.999457
The Push Bin|http://wfmu.org/playlists/LZ| -1.726555|  1.032422
Radio Boredcast|http://wfmu.org/playlists/ZZ| -2.238425|  0.285285
The Radio Thrift Shop|http://wfmu.org/playlists/RT|  0.339040|  2.541579
The Real Nitty Gritty|http://wfmu.org/playlists/RG|  1.626692|  1.620822
Rix|http://wfmu.org/playlists/RX|  0.023731|  0.006776
Scones Radio|http://wfmu.org/playlists/BX| -0.145525| -2.717807
Solid Gold Hell|http://wfmu.org/playlists/SA|  3.817513|  0.163489
Sound and Safe|http://wfmu.org/playlists/TO| -1.326454| -3.267837
Stereo Odyssey|http://wfmu.org/playlists/SO| -1.062440|  1.090639
Steve Krinsky|http://wfmu.org/playlists/SK| -0.067591|  2.156416
Talk's Cheap|http://wfmu.org/playlists/JI|  0.827316| -1.624983
Ted Barron|http://wfmu.org/playlists/TF|  0.726877|  0.736919
Thomas Edison's Attic|http://wfmu.org/playlists/TE|  0.303582|  3.078025
Tony Coulter|http://wfmu.org/playlists/TC|  0.516339| -4.160969
Tony Rettman|http://wfmu.org/playlists/TN| -2.336436| -1.511797
Trash, Twang and Thunder|http://wfmu.org/playlists/MO|  0.022549|  1.931664
Undancing In The Dirt|http://wfmu.org/playlists/DF|  2.875670| -0.247731
Underwater Theme Park|http://wfmu.org/playlists/MN| -0.119759| -0.195435
What's Happening?!?!|http://wfmu.org/playlists/AT|  1.425208|  0.932470
Woody|http://wfmu.org/playlists/WS| -3.938656| -1.582351
World of Echo|http://wfmu.org/playlists/DM|  1.195824| -0.950346
Zzzzzzero Hour|http://wfmu.org/playlists/BM| -2.486184|  2.602244
The Listener Hour|http://wfmu.org/playlists/LH| -0.791731|  0.046039
